,percent_cdna_longer_than_400bp,rna_amplification_pass_fail,amplified_quantity_ng,cell_specimen_project,marker_sum_norm_label,Norm_Marker_Sum.0.4_label
7433,0.307,Fail,13.23676345,mIVSCC-METx,0.7517355170000001,True
7456,0.278,Fail,12.05295662,mIVSCC-MET,0.558897836,True
7470,0.47700000000000004,Fail,6.617858631,mIVSCC-MET,0.607854786,True
7471,0.49700000000000005,Fail,2.403356975,mIVSCC-MET,0.626585409,True
7494,0.316,Fail,6.894124734,mIVSCC-MET,0.589437219,True
7502,0.441,Fail,5.072274066,mIVSCC-MET,0.445675559,True
7508,0.375,Fail,44.40080476,mIVSCC-MET,0.541838323,True
7510,0.48100000000000004,Fail,2.2711033990000002,mIVSCC-MET,0.5843768739999999,True
7511,0.483,Fail,8.2383302,mIVSCC-MET,0.910091696,True
7534,0.68,Fail,6.188878606,mIVSCC-MET,0.560011245,True
7543,0.455,Fail,2.907978998,mIVSCC-MET,0.458066806,True
7547,0.473,Fail,6.979889362000001,mIVSCC-MET,0.661205606,True
7549,0.442,Fail,7.8307692520000005,mIVSCC-MET,0.433443361,True
7554,0.483,Fail,13.56169286,mIVSCC-MET,0.62002763,True
7562,0.425,Fail,17.40940606,mIVSCC-MET,0.514764042,True
7571,0.355,Fail,6.305168653,mIVSCC-MET,0.536426709,True
7584,0.49700000000000005,Fail,4.784057075,mIVSCC-MET,0.592827151,True
7586,0.42100000000000004,Fail,4.941342526000001,mIVSCC-MET,0.47161957,True
7592,0.46399999999999997,Fail,8.052065772,mIVSCC-MET,0.40294685399999997,True
7601,0.313,Fail,25.88367688,mIVSCC-MET,0.7894710420000001,True
7607,0.27399999999999997,Fail,122.48753909999998,mIVSCC-MET,0.671719556,True
7608,0.439,Fail,5.761071104,mIVSCC-MET,0.608404636,True
7627,0.5479999999999999,Fail,10.25780059,mIVSCC-MET,0.8410788359999999,True
7648,0.158,Fail,23.93373154,mIVSCC-MET,0.657143137,True
7651,0.40399999999999997,Fail,3.5258159260000004,mIVSCC-MET,0.959438226,True
7671,0.536,Fail,3.624408191,mIVSCC-MET,0.439726403,True
7686,0.43799999999999994,Fail,3.1227415169999997,mIVSCC-MET,0.470865349,True
7693,0.335,Fail,6.667112495,mIVSCC-MET,0.5703602529999999,True
7694,0.386,Fail,4.561655954,mIVSCC-MET,0.47811345200000005,True
7696,0.371,Fail,2.644388077,mIVSCC-MET,0.647861764,True
7699,0.88,Fail,1.576341585,mIVSCC-MET,0.42608082799999997,True
7702,0.389,Fail,9.262718784,mIVSCC-MET,0.506121325,True
7705,0.376,Fail,8.725139368999999,mIVSCC-MET,0.77178768,True
7707,0.44299999999999995,Fail,6.6839450010000006,mIVSCC-MET,0.590225384,True
7712,0.43200000000000005,Fail,3.754702767,mIVSCC-MET,0.413822095,True
7715,0.42100000000000004,Fail,58.14190776,mIVSCC-METx,1.021796645,True
7716,0.539,Fail,3.544157512,mIVSCC-MET,0.475264006,True
7717,0.449,Fail,3.7926600319999997,mIVSCC-MET,0.610643879,True
7718,0.457,Fail,6.79431829,mIVSCC-MET,0.493540032,True
7719,0.312,Fail,5.995811507000001,mIVSCC-MET,0.42400206,True
7720,0.272,Fail,9.469495006,mIVSCC-MET,0.557030484,True
7724,0.349,Fail,7.847363983999999,mIVSCC-MET,0.598996301,True
7726,0.341,Fail,18.03963132,mIVSCC-MET,0.454123018,True
7729,0.535,Fail,3.130152235,mIVSCC-MET,0.6077536570000001,True
7730,0.307,Fail,5.5821697189999995,mIVSCC-MET,0.449193092,True
7734,0.435,Fail,4.949970574,mIVSCC-MET,0.433143603,True
7736,0.371,Fail,5.369078927,mIVSCC-MET,0.555659296,True
7738,0.395,Fail,4.625019084,mIVSCC-MET,0.47387551299999997,True
7739,0.431,Fail,9.981867635,mIVSCC-MET,0.45270569200000005,True
7751,0.514,Fail,4.767605795,mIVSCC-MET,0.6173209270000001,True
7755,0.561,Fail,7.513575372000001,mIVSCC-MET,0.569790285,True
7765,0.56,Fail,3.245578966,mIVSCC-MET,0.49630367200000003,True
7777,0.34299999999999997,Fail,14.98024872,mIVSCC-MET,0.42297821,True
7779,0.46399999999999997,Fail,12.01834956,mIVSCC-MET,0.8219934440000001,True
7783,0.377,Fail,5.289972372,mIVSCC-MET,0.652656339,True
7785,0.45,Fail,4.6564172280000005,mIVSCC-MET,0.556593103,True
7786,0.504,Fail,4.303999534,mIVSCC-MET,0.567470559,True
