date,sample_id,Data,postPatch,percent_cdna_longer_than_400bp,amplified_quantity_ng,Genes.Detected.CPM,Tree_call,marker_sum_norm_label,Total_time,Total_time_min,Total_time_bins
171006,PBS4_171006_506_A01,Production,nucleus_present,0.268,28.78357332,7489,PoorQ,0.553999071913713,642.0,10.7,10-15
171006,PAS4_171006_452_A01,Production,nucleus_present,0.737,12.85631983,6454,Core,0.868852647390538,691.0,11.516666666666667,10-15
171009,PAS4_171009_451_A01,Production,nucleus_absent,0.56,6.2740496189999995,5949,Core,0.6576249699803729,776.0,12.933333333333334,10-15
171009,PAS4_171009_452_A01,Production,nucleus_present,0.42700000000000005,10.99010955,5210,I1,0.669565782326929,582.0,9.7,5-10
171009,PBS4_171009_504_A01,Production,nucleus_present,0.252,2.330292313,3095,PoorQ,0.28213761149720196,563.0,9.383333333333333,5-10
171009,PBS4_171009_505_A01,Production,nucleus_absent,0.457,7.542540037999999,4362,I3,0.6038916343735671,819.0,13.65,10-15
171009,P8S4_171009_357_A01,Production,nucleus_absent,0.364,10.16847343,3882,PoorQ,0.37549611845208297,716.0,11.933333333333334,10-15
171009,P2S4_171009_052_A01,Production,nucleus_absent,0.309,23.1159573,5762,Core,0.7741238827108771,415.0,6.916666666666667,5-10
171009,P2S4_171009_055_A01,Production,nucleus_absent,0.214,26.41131189,3849,PoorQ,0.372509785783939,534.0,8.9,5-10
171009,PBS4_171009_506_A01,Production,nucleus_absent,0.53,16.7381104,6695,Core,0.904834042798225,508.0,8.466666666666667,5-10
171009,P8S4_171009_352_A01,Production,nucleus_absent,0.39399999999999996,3.9379069060000003,3306,PoorQ,0.45518567836514895,892.0,14.866666666666667,10-15
171009,P8S4_171009_354_A01,Production,nucleus_present,0.726,16.14630155,6891,Core,0.8695201286132559,437.0,7.283333333333333,5-10
171009,PBS4_171009_501_A01,Production,nucleus_absent,0.337,8.971184864,3461,PoorQ,0.5216346788723689,716.0,11.933333333333334,10-15
171009,P2S4_171009_053_A01,Production,nucleus_absent,0.523,22.77354399,8531,Core,0.8180056297128171,370.0,6.166666666666667,5-10
171009,P2S4_171009_054_A01,Production,nucleus_absent,0.415,18.35519088,6672,Core,1.11677246658655,536.0,8.933333333333334,5-10
171009,P8S4_171009_351_A01,Production,nucleus_absent,0.47600000000000003,7.6950614239999995,4401,PoorQ,0.4533825032026029,559.0,9.316666666666666,5-10
171009,P8S4_171009_353_A01,Production,nucleus_present,0.349,21.59315098,7159,Core,0.7425080323497539,426.0,7.1,5-10
171009,P8S4_171009_356_A01,Production,nucleus_absent,0.32899999999999996,15.71102246,4269,PoorQ,0.35134007201676304,730.0,12.166666666666666,10-15
171009,P2S4_171009_056_A01,Production,nucleus_absent,0.413,21.51657973,8129,I1,0.954588229788408,398.0,6.633333333333334,5-10
171009,P2S4_171009_051_A01,Production,nucleus_present,0.6709999999999999,22.33638162,8764,Core,1.16189293918277,582.0,9.7,5-10
171009,P8S4_171009_355_A01,Production,nucleus_absent,0.29100000000000004,7.223389405,2933,PoorQ,0.30094821944212896,742.0,12.366666666666667,10-15
171009,PBS4_171009_503_A01,Production,nucleus_present,0.632,14.775428,5914,I2,0.811698595484554,663.0,11.05,10-15
171009,P8S4_171009_358_A01,Production,nucleus_present,0.519,31.859468800000002,8036,I1,0.7117256023528141,432.0,7.2,5-10
171009,PAS4_171009_453_A01,Production,nucleus_present,0.61,10.42095027,4901,I1,1.08881746262558,543.0,9.05,5-10
171009,PBS4_171009_502_A01,Production,nucleus_present,0.565,12.739026800000001,6451,I2,0.832665166364792,818.0,13.633333333333333,10-15
171010,PBS4_171010_503_A01,Production,nucleus_absent,0.29,37.31919087,9808,PoorQ,0.572916257119119,583.0,9.716666666666667,5-10
171010,PBS4_171010_502_A01,Production,nucleus_absent,0.501,23.68462141,7337,Core,1.30896334050697,500.0,8.333333333333334,5-10
171010,P8S4_171010_356_A01,Production,nucleus_absent,0.231,8.591258332999999,3132,PoorQ,0.34078038082745393,599.0,9.983333333333333,5-10
171010,PBS4_171010_505_A01,Production,nucleus_present,0.647,18.22974374,7618,I2,0.9338618440813671,807.0,13.45,10-15
171010,P8S4_171010_353_A01,Production,nucleus_present,0.511,23.62065058,8139,I1,1.03982932667327,514.0,8.566666666666666,5-10
171010,PBS4_171010_504_A01,Production,nucleus_present,0.67,15.20798349,6732,I1,0.888486489415389,489.0,8.15,5-10
171010,P2S4_171010_052_A01,Production,nucleus_absent,0.247,12.65092209,2684,PoorQ,0.17638234222612303,548.0,9.133333333333333,5-10
171010,PAS4_171010_451_A01,Production,nucleus_absent,0.5589999999999999,10.9915499,6740,Core,0.805104190880045,619.0,10.316666666666666,10-15
171010,P2S4_171010_051_A01,Production,nucleus_absent,0.674,46.51283396,9454,I2,1.2070634012211499,539.0,8.983333333333333,5-10
171010,P8S4_171010_357_A01,Production,nucleus_present,0.33399999999999996,19.2629185,5539,I2,0.694331951554282,511.0,8.516666666666667,5-10
